detid_Y,ess101o,ess101w,esss037n,esss037s,esss038o,esss038w,esss050n,esss050s,esss051n,esss051s,esss052n,esss052s,esss053n,esss053s,esss088n,esss088s,esss090n,esss090s,esss092n,esss092s,esss093n,esss093s,esss094n,esss094s,esss095n,esss095s,esss097o,esss097w,esss098n,esss098s,esss102n,esss102s,esss926o,esss926w,esss928o,esss928w,esss943o,esss943w
esss095s,4909.66,4539.14,2726.75,2580.25,3608.41,3608.41,1908.59,1869.92,1325.29,1571.58,1459.78,1459.78,3145.90,3056.73,2832.60,2845.46,1192.82,1192.82,1391.70,1094.06,1910.77,1910.77,565.12,728.91,0.00,0.00,649.85,460.87,2066.24,2066.24,2584.86,2609.46,735.44,735.44,1671.50,1673.67,1491.04,1410.79
esss097o,5505.60,5135.08,3375.13,3228.63,4256.80,4256.80,1660.52,1621.86,675.44,921.73,2108.16,2108.16,3550.23,3658.03,2182.75,2195.61,1607.04,1607.04,2010.28,1712.63,2530.04,2530.04,1213.50,1320.77,648.38,648.38,0.00,240.72,2449.72,2449.72,3203.43,3228.03,851.69,851.69,1475.76,1442.87,2109.61,2029.36
esss097w,5264.88,4894.36,3134.41,2987.91,4016.07,4016.07,1865.59,1826.92,880.50,1126.79,1867.44,1867.44,3553.57,3464.39,2387.81,2400.68,1366.32,1366.32,1769.55,1471.91,2289.32,2289.32,972.78,1080.05,407.66,407.66,205.06,0.00,2209.00,2209.00,2962.71,2987.31,723.92,723.92,1680.82,1647.93,1868.89,1788.64
esss098n,4184.98,3814.46,3082.87,2936.37,4536.47,4536.47,3843.91,3805.24,2563.97,2810.26,2815.21,2815.21,4287.23,4198.05,4071.28,4084.15,1354.10,1354.10,2416.92,2119.28,2604.48,2604.48,2500.44,2602.24,1935.32,1935.32,2235.73,2046.74,0.00,0.00,2640.49,2631.83,2670.76,2670.76,3411.81,3557.22,2278.14,2219.98
esss098s,4184.98,3814.46,3082.87,2936.37,4536.47,4536.47,3843.91,3805.24,2563.97,2810.26,2815.21,2815.21,4287.23,4198.05,4071.28,4084.15,1354.10,1354.10,2416.92,2119.28,2604.48,2604.48,2500.44,2602.24,1935.32,1935.32,2235.73,2046.74,0.00,0.00,2640.49,2631.83,2670.76,2670.76,3411.81,3557.22,2278.14,2219.98
esss102n,2458.40,2087.88,1444.95,1298.44,2898.55,2898.55,3824.24,3862.91,3953.13,4199.43,2340.31,2340.31,3066.58,2687.08,5072.93,5085.79,2616.44,2616.44,2286.49,1988.85,1830.62,1830.62,2712.74,2722.22,2634.48,2634.48,3277.70,3088.71,2972.07,2972.07,0.00,24.60,2883.07,2883.07,3281.38,3426.80,1651.89,1593.74
esss102s,2483.39,2112.86,1420.35,1273.84,2873.95,2873.95,3799.64,3838.31,3928.53,4174.83,2315.71,2315.71,3041.98,2662.48,5048.33,5061.19,2591.84,2591.84,2261.89,1964.25,1806.02,1806.02,2688.14,2697.62,2609.88,2609.88,3253.10,3064.11,2947.47,2947.47,24.98,0.00,2858.47,2858.47,3256.78,3402.20,1627.29,1569.14
esss926o,5067.87,4697.35,2810.77,2664.27,3692.43,3692.43,2082.55,2043.88,1997.02,2243.31,1543.80,1543.80,3229.93,3140.75,3099.27,3112.13,1779.85,1779.85,1518.29,1252.28,1994.79,1994.79,649.14,732.36,682.67,682.67,1321.58,1116.52,2748.91,2748.91,2743.07,2767.67,0.00,0.00,1755.52,1847.63,1649.26,1569.00
esss926w,5067.87,4697.35,2810.77,2664.27,3692.43,3692.43,2082.55,2043.88,1997.02,2243.31,1543.80,1543.80,3229.93,3140.75,3099.27,3112.13,1779.85,1779.85,1518.29,1252.28,1994.79,1994.79,649.14,732.36,682.67,682.67,1321.58,1116.52,2748.91,2748.91,2743.07,2767.67,0.00,0.00,1755.52,1847.63,1649.26,1569.00
esss928o,5823.73,5453.20,2678.44,2531.93,2987.46,2987.46,542.86,581.53,2014.31,1840.99,1411.47,1411.47,2240.32,2348.13,2418.90,2431.77,2566.34,2566.34,1385.96,1422.28,1862.46,1862.46,1512.96,957.38,1546.48,1546.48,1338.88,1523.37,3612.72,3612.72,3381.34,3405.94,863.82,863.82,0.00,145.41,2419.80,2339.54
esss928w,5793.23,5422.70,2647.94,2501.43,2942.28,2942.28,579.48,618.15,2065.44,1877.61,1380.97,1380.97,2195.14,2302.95,2455.53,2468.39,2535.84,2535.84,1355.46,1391.78,1831.96,1831.96,1564.09,1008.51,1597.61,1597.61,1390.01,1574.50,3663.86,3663.86,3350.84,3375.44,914.95,914.95,135.35,0.00,2389.30,2309.04
esss943o,3934.84,3564.32,1962.95,1816.45,3143.42,3143.42,2404.32,2365.66,2301.24,2547.53,1345.87,1345.87,2783.42,2694.24,3421.04,3433.90,964.54,964.54,947.58,649.94,1100.67,1100.67,1060.85,1132.89,982.59,982.59,1625.80,1436.82,2096.63,2096.63,1610.04,1634.64,1231.17,1231.17,1942.47,2087.88,0.00,550.92
esss943w,4026.45,3655.93,1755.23,1608.73,2935.69,2935.69,2841.62,2802.95,2738.53,2984.83,1402.64,1402.64,2575.69,2486.52,3858.33,3871.19,1401.83,1401.83,1348.82,1051.18,892.95,892.95,1498.14,1570.19,1419.88,1419.88,2063.09,1874.11,2533.92,2533.92,1584.07,1608.67,1668.46,1668.46,2343.71,2489.13,437.29,0.00
