detid_Y,N06111V,N06112W,N06113Y,N06114Z,N06121A,N06121L,N06121M,N06121N,N06131T,N06131V,N06131W,N06131X,N06141A,N06141C,N06141Y,N06151D,N06151F,N06151G,N06161Q,N06161R,N06161T,N06161U,N06171B,N06171P,N06171Q,N06171R,N06171S,N06181H,N06181J,N06181K,N06191N,N06191P,N06191Z,N06211C,N06211E,N06211F,N06211G,N06221P,N06221Q,N06221R,N06222H,N06222K,N06222L,N06222M,N06241A,N06241B,N06241Y,N06242Z,N06251T,N06251V,N06251W,N06251X,N06252D,N06252E,N06252F,N06261V,N06261Y,N06261Z,N06271G,N06271H,N06271K,N06271L,N06281M,N06281P,N06281R,N06281S,N06291B,N06291E,N06291F,N06311J,N06311K,N06311L,N06311N,N06312M,N06312P,N06321B,N06321C,N06321D,N06321E,N06321L,N06322G,N06331A,N06331J,N06331X,N06331Y,N06331Z,N06341K,N06341S,N06341T,N06351L,N06351M,N06351P,N06351R,N06391B,N06391Y,N06391Z,N06411H,N06411J,N06411K,N06421A,N06421B,N06421D,N06421E,N06421F,N06421G,N06431X,N06431Y,N06431Z,N06451L,N06451P,N06451R,N06451S,N06461E,N06461T,N06471H,N06481L,N06481N,N06481P,N06481S,N06482F,N06482J,N06482K,N06511A,N06511B,N06511C,N06521E,N06521F,N06521G,N06521H,N06551T,N06611A,N06611E,N06611F,N06611G,N06611J,N06621A,N06621B,N06621C,N06621D,N06631X,N06631Y,N06631Z,N06691R,N06691S,N06691T,N06691U,N06691V,N06731W,N06731X,N06731Y,N06731Z,N26151X,N29111A,N29111R,N29111S,N29111T,N29111V,N29111W,N29112Q,N29113R,N29121G,N29121J,N29121M,N29121N,N29121P,N29121Z,N29131B,N29131C,N29131E,N29131F,N29141A,N29142H,N31111S,N31111U,N31111W,N31122B,N36121V,N41111D,N41111E,N41111F,N41121B
N06421A,1892.68,2088.45,2009.12,2179.58,1434.65,1434.65,1623.41,1451.28,1491.78,1703.64,1928.31,1888.75,2291.53,1891.01,1639.93,1924.71,1681.27,1725.63,1761.99,1761.99,1953.72,2056.04,1551.56,1551.56,1636.12,1636.12,1639.93,1709.89,1709.89,1748.48,1854.96,1855.63,1653.99,3353.43,3191.42,3387.61,3138.57,3242.91,3575.32,3457.87,3067.17,3380.71,3286.54,3239.42,3191.42,3182.94,3263.16,3263.16,2627.83,2954.67,3024.98,3048.85,2939.34,2992.89,3039.14,1402.86,1541.16,1409.55,2217.70,2518.85,2516.90,2503.51,2372.18,2979.49,2886.07,2699.75,2088.45,2400.72,2257.15,1271.61,1499.70,1571.55,1271.61,1571.55,1571.55,919.59,1271.61,1131.58,1118.84,1131.58,1369.65,999.85,757.10,792.05,869.65,999.85,803.26,609.79,829.00,0.00,522.61,767.78,780.77,2402.31,1666.51,1997.57,0.00,206.44,600.31,0.00,2963.65,206.44,0.00,0.00,0.00,2963.65,0.00,2963.65,3348.11,3348.11,2963.65,2963.65,3348.11,3076.04,1077.82,3348.11,3505.45,3505.45,3348.11,3348.11,3348.11,3348.11,3076.04,2963.65,2963.65,2963.65,2963.65,2963.65,2963.65,3505.45,3076.04,3824.79,3348.11,3076.04,3348.11,3992.89,3824.79,3348.11,3348.11,4065.71,3824.79,3905.11,3824.79,3992.89,3992.89,4007.30,3824.79,3824.79,4240.25,4007.30,3505.45,4240.25,4118.35,4240.25,4118.35,4021.67,4034.10,4034.07,4118.35,4138.81,4240.25,4007.30,4118.35,4240.25,4240.25,4007.30,4240.25,4007.30,4240.25,4240.25,4240.25,4240.25,458.55,458.55,354.63,967.98,531.40,979.26,792.05,840.09,904.84
N06421B,2636.86,2683.63,2753.30,2604.67,3186.83,3186.83,2835.84,3028.34,3158.43,3332.02,3556.69,2994.32,3394.36,3111.12,3268.32,3030.27,2831.81,3097.95,2690.29,2690.29,2697.90,2373.63,3218.21,3218.21,3302.77,3302.77,3268.32,2860.43,2860.43,2703.80,2599.14,2671.29,2782.42,2581.46,2661.44,2402.22,2314.57,2663.47,2995.88,2878.43,2604.96,2801.27,2707.10,2467.44,2661.44,2496.63,2800.95,2800.95,2410.34,2737.17,2653.70,2692.23,2721.85,2775.40,2821.65,3112.69,2938.47,3070.08,2642.78,2564.46,2533.01,2257.18,2417.78,2911.35,2668.58,2338.43,2683.63,2446.33,2682.24,3549.07,3491.08,3419.23,3549.07,3419.23,3419.23,3635.04,3549.07,3487.72,3354.91,3487.72,3241.11,3485.28,3770.68,3687.28,3764.88,3485.28,3816.84,3828.79,3692.76,4429.60,3907.00,3781.36,3648.72,3943.71,3294.90,3744.66,4429.60,4223.16,3859.07,4429.60,0.00,4223.16,4429.60,4429.60,4429.60,0.00,4429.60,0.00,422.81,422.81,0.00,0.00,422.81,112.39,3433.96,422.81,580.14,580.14,422.81,422.81,422.81,422.81,112.39,0.00,0.00,0.00,0.00,0.00,0.00,580.14,112.39,1061.19,422.81,112.39,422.81,1229.30,1061.19,422.81,422.81,1302.12,1061.19,1141.52,1061.19,1229.30,1229.30,1243.71,1061.19,1061.19,1476.66,1243.71,580.14,1476.66,1354.75,1476.66,1354.75,1258.07,1270.51,1664.78,1354.75,1375.22,1476.66,1243.71,1354.75,1476.66,1476.66,1243.71,1476.66,1243.71,1476.66,1476.66,1476.66,1476.66,4438.16,4438.16,4359.12,4761.87,4325.29,3981.45,3687.28,3973.50,3907.03
N06421D,1686.24,1882.01,1802.68,1973.14,1228.21,1228.21,1416.97,1244.84,1285.34,1497.20,1721.87,1682.32,2085.09,1684.58,1433.50,1718.27,1474.83,1519.19,1555.56,1555.56,1747.29,1849.60,1345.12,1345.12,1429.68,1429.68,1433.50,1503.45,1503.45,1542.05,1648.53,1649.20,1447.56,3146.99,2984.99,3181.17,2932.13,3036.47,3368.89,3251.43,2860.73,3174.28,3080.10,3032.98,2984.99,2976.50,3056.72,3056.72,2421.39,2748.23,2818.54,2842.41,2732.91,2786.45,2832.71,1196.43,1334.72,1203.11,2011.26,2312.41,2310.46,2297.08,2165.74,2773.05,2679.64,2493.31,1882.01,2194.29,2050.72,1065.17,1293.27,1365.11,1065.17,1365.11,1365.11,713.15,1065.17,925.14,912.40,925.14,1163.22,793.41,550.66,585.61,663.21,793.41,596.82,403.35,622.57,206.44,316.17,561.34,574.33,2195.87,1460.08,1791.13,206.44,0.00,393.87,206.44,2757.21,0.00,206.44,206.44,206.44,2757.21,206.44,2757.21,3141.67,3141.67,2757.21,2757.21,3141.67,2869.61,871.38,3141.67,3299.01,3299.01,3141.67,3141.67,3141.67,3141.67,2869.61,2757.21,2757.21,2757.21,2757.21,2757.21,2757.21,3299.01,2869.61,3618.35,3141.67,2869.61,3141.67,3786.45,3618.35,3141.67,3141.67,3859.28,3618.35,3698.68,3618.35,3786.45,3786.45,3800.86,3618.35,3618.35,4033.81,3800.86,3299.01,4033.81,3911.91,4033.81,3911.91,3815.23,3827.67,3827.63,3911.91,3932.38,4033.81,3800.86,3911.91,4033.81,4033.81,3800.86,4033.81,3800.86,4033.81,4033.81,4033.81,4033.81,252.11,252.11,148.19,761.54,324.97,772.82,585.61,633.65,698.40
N06421E,1892.68,2088.45,2009.12,2179.58,1434.65,1434.65,1623.41,1451.28,1491.78,1703.64,1928.31,1888.75,2291.53,1891.01,1639.93,1924.71,1681.27,1725.63,1761.99,1761.99,1953.72,2056.04,1551.56,1551.56,1636.12,1636.12,1639.93,1709.89,1709.89,1748.48,1854.96,1855.63,1653.99,3353.43,3191.42,3387.61,3138.57,3242.91,3575.32,3457.87,3067.17,3380.71,3286.54,3239.42,3191.42,3182.94,3263.16,3263.16,2627.83,2954.67,3024.98,3048.85,2939.34,2992.89,3039.14,1402.86,1541.16,1409.55,2217.70,2518.85,2516.90,2503.51,2372.18,2979.49,2886.07,2699.75,2088.45,2400.72,2257.15,1271.61,1499.70,1571.55,1271.61,1571.55,1571.55,919.59,1271.61,1131.58,1118.84,1131.58,1369.65,999.85,757.10,792.05,869.65,999.85,803.26,609.79,829.00,0.00,522.61,767.78,780.77,2402.31,1666.51,1997.57,0.00,206.44,600.31,0.00,2963.65,206.44,0.00,0.00,0.00,2963.65,0.00,2963.65,3348.11,3348.11,2963.65,2963.65,3348.11,3076.04,1077.82,3348.11,3505.45,3505.45,3348.11,3348.11,3348.11,3348.11,3076.04,2963.65,2963.65,2963.65,2963.65,2963.65,2963.65,3505.45,3076.04,3824.79,3348.11,3076.04,3348.11,3992.89,3824.79,3348.11,3348.11,4065.71,3824.79,3905.11,3824.79,3992.89,3992.89,4007.30,3824.79,3824.79,4240.25,4007.30,3505.45,4240.25,4118.35,4240.25,4118.35,4021.67,4034.10,4034.07,4118.35,4138.81,4240.25,4007.30,4118.35,4240.25,4240.25,4007.30,4240.25,4007.30,4240.25,4240.25,4240.25,4240.25,458.55,458.55,354.63,967.98,531.40,979.26,792.05,840.09,904.84
N06421F,1892.68,2088.45,2009.12,2179.58,1434.65,1434.65,1623.41,1451.28,1491.78,1703.64,1928.31,1888.75,2291.53,1891.01,1639.93,1924.71,1681.27,1725.63,1761.99,1761.99,1953.72,2056.04,1551.56,1551.56,1636.12,1636.12,1639.93,1709.89,1709.89,1748.48,1854.96,1855.63,1653.99,3353.43,3191.42,3387.61,3138.57,3242.91,3575.32,3457.87,3067.17,3380.71,3286.54,3239.42,3191.42,3182.94,3263.16,3263.16,2627.83,2954.67,3024.98,3048.85,2939.34,2992.89,3039.14,1402.86,1541.16,1409.55,2217.70,2518.85,2516.90,2503.51,2372.18,2979.49,2886.07,2699.75,2088.45,2400.72,2257.15,1271.61,1499.70,1571.55,1271.61,1571.55,1571.55,919.59,1271.61,1131.58,1118.84,1131.58,1369.65,999.85,757.10,792.05,869.65,999.85,803.26,609.79,829.00,0.00,522.61,767.78,780.77,2402.31,1666.51,1997.57,0.00,206.44,600.31,0.00,2963.65,206.44,0.00,0.00,0.00,2963.65,0.00,2963.65,3348.11,3348.11,2963.65,2963.65,3348.11,3076.04,1077.82,3348.11,3505.45,3505.45,3348.11,3348.11,3348.11,3348.11,3076.04,2963.65,2963.65,2963.65,2963.65,2963.65,2963.65,3505.45,3076.04,3824.79,3348.11,3076.04,3348.11,3992.89,3824.79,3348.11,3348.11,4065.71,3824.79,3905.11,3824.79,3992.89,3992.89,4007.30,3824.79,3824.79,4240.25,4007.30,3505.45,4240.25,4118.35,4240.25,4118.35,4021.67,4034.10,4034.07,4118.35,4138.81,4240.25,4007.30,4118.35,4240.25,4240.25,4007.30,4240.25,4007.30,4240.25,4240.25,4240.25,4240.25,458.55,458.55,354.63,967.98,531.40,979.26,792.05,840.09,904.84
N06421G,1892.68,2088.45,2009.12,2179.58,1434.65,1434.65,1623.41,1451.28,1491.78,1703.64,1928.31,1888.75,2291.53,1891.01,1639.93,1924.71,1681.27,1725.63,1761.99,1761.99,1953.72,2056.04,1551.56,1551.56,1636.12,1636.12,1639.93,1709.89,1709.89,1748.48,1854.96,1855.63,1653.99,3353.43,3191.42,3387.61,3138.57,3242.91,3575.32,3457.87,3067.17,3380.71,3286.54,3239.42,3191.42,3182.94,3263.16,3263.16,2627.83,2954.67,3024.98,3048.85,2939.34,2992.89,3039.14,1402.86,1541.16,1409.55,2217.70,2518.85,2516.90,2503.51,2372.18,2979.49,2886.07,2699.75,2088.45,2400.72,2257.15,1271.61,1499.70,1571.55,1271.61,1571.55,1571.55,919.59,1271.61,1131.58,1118.84,1131.58,1369.65,999.85,757.10,792.05,869.65,999.85,803.26,609.79,829.00,0.00,522.61,767.78,780.77,2402.31,1666.51,1997.57,0.00,206.44,600.31,0.00,2963.65,206.44,0.00,0.00,0.00,2963.65,0.00,2963.65,3348.11,3348.11,2963.65,2963.65,3348.11,3076.04,1077.82,3348.11,3505.45,3505.45,3348.11,3348.11,3348.11,3348.11,3076.04,2963.65,2963.65,2963.65,2963.65,2963.65,2963.65,3505.45,3076.04,3824.79,3348.11,3076.04,3348.11,3992.89,3824.79,3348.11,3348.11,4065.71,3824.79,3905.11,3824.79,3992.89,3992.89,4007.30,3824.79,3824.79,4240.25,4007.30,3505.45,4240.25,4118.35,4240.25,4118.35,4021.67,4034.10,4034.07,4118.35,4138.81,4240.25,4007.30,4118.35,4240.25,4240.25,4007.30,4240.25,4007.30,4240.25,4240.25,4240.25,4240.25,458.55,458.55,354.63,967.98,531.40,979.26,792.05,840.09,904.84
N06431X,2636.86,2683.63,2753.30,2604.67,3186.83,3186.83,2835.84,3028.34,3158.43,3332.02,3556.69,2994.32,3394.36,3111.12,3268.32,3030.27,2831.81,3097.95,2690.29,2690.29,2697.90,2373.63,3218.21,3218.21,3302.77,3302.77,3268.32,2860.43,2860.43,2703.80,2599.14,2671.29,2782.42,2581.46,2661.44,2402.22,2314.57,2663.47,2995.88,2878.43,2604.96,2801.27,2707.10,2467.44,2661.44,2496.63,2800.95,2800.95,2410.34,2737.17,2653.70,2692.23,2721.85,2775.40,2821.65,3112.69,2938.47,3070.08,2642.78,2564.46,2533.01,2257.18,2417.78,2911.35,2668.58,2338.43,2683.63,2446.33,2682.24,3549.07,3491.08,3419.23,3549.07,3419.23,3419.23,3635.04,3549.07,3487.72,3354.91,3487.72,3241.11,3485.28,3770.68,3687.28,3764.88,3485.28,3816.84,3828.79,3692.76,4429.60,3907.00,3781.36,3648.72,3943.71,3294.90,3744.66,4429.60,4223.16,3859.07,4429.60,0.00,4223.16,4429.60,4429.60,4429.60,0.00,4429.60,0.00,422.81,422.81,0.00,0.00,422.81,112.39,3433.96,422.81,580.14,580.14,422.81,422.81,422.81,422.81,112.39,0.00,0.00,0.00,0.00,0.00,0.00,580.14,112.39,1061.19,422.81,112.39,422.81,1229.30,1061.19,422.81,422.81,1302.12,1061.19,1141.52,1061.19,1229.30,1229.30,1243.71,1061.19,1061.19,1476.66,1243.71,580.14,1476.66,1354.75,1476.66,1354.75,1258.07,1270.51,1664.78,1354.75,1375.22,1476.66,1243.71,1354.75,1476.66,1476.66,1243.71,1476.66,1243.71,1476.66,1476.66,1476.66,1476.66,4438.16,4438.16,4359.12,4761.87,4325.29,3981.45,3687.28,3973.50,3907.03
N06431Y,1892.68,2088.45,2009.12,2179.58,1434.65,1434.65,1623.41,1451.28,1491.78,1703.64,1928.31,1888.75,2291.53,1891.01,1639.93,1924.71,1681.27,1725.63,1761.99,1761.99,1953.72,2056.04,1551.56,1551.56,1636.12,1636.12,1639.93,1709.89,1709.89,1748.48,1854.96,1855.63,1653.99,3353.43,3191.42,3387.61,3138.57,3242.91,3575.32,3457.87,3067.17,3380.71,3286.54,3239.42,3191.42,3182.94,3263.16,3263.16,2627.83,2954.67,3024.98,3048.85,2939.34,2992.89,3039.14,1402.86,1541.16,1409.55,2217.70,2518.85,2516.90,2503.51,2372.18,2979.49,2886.07,2699.75,2088.45,2400.72,2257.15,1271.61,1499.70,1571.55,1271.61,1571.55,1571.55,919.59,1271.61,1131.58,1118.84,1131.58,1369.65,999.85,757.10,792.05,869.65,999.85,803.26,609.79,829.00,0.00,522.61,767.78,780.77,2402.31,1666.51,1997.57,0.00,206.44,600.31,0.00,2963.65,206.44,0.00,0.00,0.00,2963.65,0.00,2963.65,3348.11,3348.11,2963.65,2963.65,3348.11,3076.04,1077.82,3348.11,3505.45,3505.45,3348.11,3348.11,3348.11,3348.11,3076.04,2963.65,2963.65,2963.65,2963.65,2963.65,2963.65,3505.45,3076.04,3824.79,3348.11,3076.04,3348.11,3992.89,3824.79,3348.11,3348.11,4065.71,3824.79,3905.11,3824.79,3992.89,3992.89,4007.30,3824.79,3824.79,4240.25,4007.30,3505.45,4240.25,4118.35,4240.25,4118.35,4021.67,4034.10,4034.07,4118.35,4138.81,4240.25,4007.30,4118.35,4240.25,4240.25,4007.30,4240.25,4007.30,4240.25,4240.25,4240.25,4240.25,458.55,458.55,354.63,967.98,531.40,979.26,792.05,840.09,904.84
N06431Z,2636.86,2683.63,2753.30,2604.67,3186.83,3186.83,2835.84,3028.34,3158.43,3332.02,3556.69,2994.32,3394.36,3111.12,3268.32,3030.27,2831.81,3097.95,2690.29,2690.29,2697.90,2373.63,3218.21,3218.21,3302.77,3302.77,3268.32,2860.43,2860.43,2703.80,2599.14,2671.29,2782.42,2581.46,2661.44,2402.22,2314.57,2663.47,2995.88,2878.43,2604.96,2801.27,2707.10,2467.44,2661.44,2496.63,2800.95,2800.95,2410.34,2737.17,2653.70,2692.23,2721.85,2775.40,2821.65,3112.69,2938.47,3070.08,2642.78,2564.46,2533.01,2257.18,2417.78,2911.35,2668.58,2338.43,2683.63,2446.33,2682.24,3549.07,3491.08,3419.23,3549.07,3419.23,3419.23,3635.04,3549.07,3487.72,3354.91,3487.72,3241.11,3485.28,3770.68,3687.28,3764.88,3485.28,3816.84,3828.79,3692.76,4429.60,3907.00,3781.36,3648.72,3943.71,3294.90,3744.66,4429.60,4223.16,3859.07,4429.60,0.00,4223.16,4429.60,4429.60,4429.60,0.00,4429.60,0.00,422.81,422.81,0.00,0.00,422.81,112.39,3433.96,422.81,580.14,580.14,422.81,422.81,422.81,422.81,112.39,0.00,0.00,0.00,0.00,0.00,0.00,580.14,112.39,1061.19,422.81,112.39,422.81,1229.30,1061.19,422.81,422.81,1302.12,1061.19,1141.52,1061.19,1229.30,1229.30,1243.71,1061.19,1061.19,1476.66,1243.71,580.14,1476.66,1354.75,1476.66,1354.75,1258.07,1270.51,1664.78,1354.75,1375.22,1476.66,1243.71,1354.75,1476.66,1476.66,1243.71,1476.66,1243.71,1476.66,1476.66,1476.66,1476.66,4438.16,4438.16,4359.12,4761.87,4325.29,3981.45,3687.28,3973.50,3907.03
N06451L,2888.25,2935.02,3004.69,2856.06,3438.22,3438.22,3087.23,3279.74,3409.82,3583.41,3808.08,3245.71,3645.75,3362.51,3519.71,3281.66,3083.20,3349.34,2941.68,2941.68,2949.29,2625.02,3469.60,3469.60,3554.16,3554.16,3519.71,3111.82,3111.82,2955.19,2850.53,2922.68,3033.81,2832.85,2912.83,2653.61,2565.96,2914.86,3247.27,3129.82,2856.35,3052.66,2958.49,2718.83,2912.83,2748.02,3052.34,3052.34,2661.73,2988.56,2905.09,2943.62,2973.24,3026.79,3073.04,3364.08,3189.86,3321.47,2894.18,2815.85,2784.41,2508.57,2669.17,3162.74,2919.97,2589.82,2935.02,2697.72,2933.63,3800.46,3742.47,3670.62,3800.46,3670.62,3670.62,3886.43,3800.46,3739.11,3606.30,3739.11,3492.50,3736.67,4022.08,3938.67,4016.27,3736.67,4068.23,4080.18,3944.15,4680.99,4158.39,4032.75,3900.11,4195.10,3546.29,3996.05,4680.99,4474.56,4110.46,4680.99,440.89,4474.56,4680.99,4680.99,4680.99,440.89,4680.99,440.89,0.00,0.00,440.89,440.89,0.00,553.28,3685.35,0.00,352.35,352.35,0.00,0.00,0.00,0.00,553.28,440.89,440.89,440.89,440.89,440.89,440.89,352.35,553.28,833.41,0.00,553.28,0.00,1001.51,833.41,0.00,0.00,1074.33,833.41,913.73,833.41,1001.51,1001.51,1015.92,833.41,833.41,1248.87,1015.92,352.35,1248.87,1126.96,1248.87,1126.96,1030.28,1042.72,1484.24,1126.96,1147.43,1248.87,1015.92,1126.96,1248.87,1248.87,1015.92,1248.87,1015.92,1248.87,1248.87,1248.87,1248.87,4689.55,4689.55,4610.51,5013.26,4576.68,4232.84,3938.67,4224.89,4158.43
N06451P,2888.25,2935.02,3004.69,2856.06,3438.22,3438.22,3087.23,3279.74,3409.82,3583.41,3808.08,3245.71,3645.75,3362.51,3519.71,3281.66,3083.20,3349.34,2941.68,2941.68,2949.29,2625.02,3469.60,3469.60,3554.16,3554.16,3519.71,3111.82,3111.82,2955.19,2850.53,2922.68,3033.81,2832.85,2912.83,2653.61,2565.96,2914.86,3247.27,3129.82,2856.35,3052.66,2958.49,2718.83,2912.83,2748.02,3052.34,3052.34,2661.73,2988.56,2905.09,2943.62,2973.24,3026.79,3073.04,3364.08,3189.86,3321.47,2894.18,2815.85,2784.41,2508.57,2669.17,3162.74,2919.97,2589.82,2935.02,2697.72,2933.63,3800.46,3742.47,3670.62,3800.46,3670.62,3670.62,3886.43,3800.46,3739.11,3606.30,3739.11,3492.50,3736.67,4022.08,3938.67,4016.27,3736.67,4068.23,4080.18,3944.15,4680.99,4158.39,4032.75,3900.11,4195.10,3546.29,3996.05,4680.99,4474.56,4110.46,4680.99,440.89,4474.56,4680.99,4680.99,4680.99,440.89,4680.99,440.89,0.00,0.00,440.89,440.89,0.00,553.28,3685.35,0.00,352.35,352.35,0.00,0.00,0.00,0.00,553.28,440.89,440.89,440.89,440.89,440.89,440.89,352.35,553.28,833.41,0.00,553.28,0.00,1001.51,833.41,0.00,0.00,1074.33,833.41,913.73,833.41,1001.51,1001.51,1015.92,833.41,833.41,1248.87,1015.92,352.35,1248.87,1126.96,1248.87,1126.96,1030.28,1042.72,1484.24,1126.96,1147.43,1248.87,1015.92,1126.96,1248.87,1248.87,1015.92,1248.87,1015.92,1248.87,1248.87,1248.87,1248.87,4689.55,4689.55,4610.51,5013.26,4576.68,4232.84,3938.67,4224.89,4158.43
N06451R,2636.86,2683.63,2753.30,2604.67,3186.83,3186.83,2835.84,3028.34,3158.43,3332.02,3556.69,2994.32,3394.36,3111.12,3268.32,3030.27,2831.81,3097.95,2690.29,2690.29,2697.90,2373.63,3218.21,3218.21,3302.77,3302.77,3268.32,2860.43,2860.43,2703.80,2599.14,2671.29,2782.42,2581.46,2661.44,2402.22,2314.57,2663.47,2995.88,2878.43,2604.96,2801.27,2707.10,2467.44,2661.44,2496.63,2800.95,2800.95,2410.34,2737.17,2653.70,2692.23,2721.85,2775.40,2821.65,3112.69,2938.47,3070.08,2642.78,2564.46,2533.01,2257.18,2417.78,2911.35,2668.58,2338.43,2683.63,2446.33,2682.24,3549.07,3491.08,3419.23,3549.07,3419.23,3419.23,3635.04,3549.07,3487.72,3354.91,3487.72,3241.11,3485.28,3770.68,3687.28,3764.88,3485.28,3816.84,3828.79,3692.76,4429.60,3907.00,3781.36,3648.72,3943.71,3294.90,3744.66,4429.60,4223.16,3859.07,4429.60,0.00,4223.16,4429.60,4429.60,4429.60,0.00,4429.60,0.00,422.81,422.81,0.00,0.00,422.81,112.39,3433.96,422.81,580.14,580.14,422.81,422.81,422.81,422.81,112.39,0.00,0.00,0.00,0.00,0.00,0.00,580.14,112.39,1061.19,422.81,112.39,422.81,1229.30,1061.19,422.81,422.81,1302.12,1061.19,1141.52,1061.19,1229.30,1229.30,1243.71,1061.19,1061.19,1476.66,1243.71,580.14,1476.66,1354.75,1476.66,1354.75,1258.07,1270.51,1664.78,1354.75,1375.22,1476.66,1243.71,1354.75,1476.66,1476.66,1243.71,1476.66,1243.71,1476.66,1476.66,1476.66,1476.66,4438.16,4438.16,4359.12,4761.87,4325.29,3981.45,3687.28,3973.50,3907.03
N06451S,2636.86,2683.63,2753.30,2604.67,3186.83,3186.83,2835.84,3028.34,3158.43,3332.02,3556.69,2994.32,3394.36,3111.12,3268.32,3030.27,2831.81,3097.95,2690.29,2690.29,2697.90,2373.63,3218.21,3218.21,3302.77,3302.77,3268.32,2860.43,2860.43,2703.80,2599.14,2671.29,2782.42,2581.46,2661.44,2402.22,2314.57,2663.47,2995.88,2878.43,2604.96,2801.27,2707.10,2467.44,2661.44,2496.63,2800.95,2800.95,2410.34,2737.17,2653.70,2692.23,2721.85,2775.40,2821.65,3112.69,2938.47,3070.08,2642.78,2564.46,2533.01,2257.18,2417.78,2911.35,2668.58,2338.43,2683.63,2446.33,2682.24,3549.07,3491.08,3419.23,3549.07,3419.23,3419.23,3635.04,3549.07,3487.72,3354.91,3487.72,3241.11,3485.28,3770.68,3687.28,3764.88,3485.28,3816.84,3828.79,3692.76,4429.60,3907.00,3781.36,3648.72,3943.71,3294.90,3744.66,4429.60,4223.16,3859.07,4429.60,0.00,4223.16,4429.60,4429.60,4429.60,0.00,4429.60,0.00,422.81,422.81,0.00,0.00,422.81,112.39,3433.96,422.81,580.14,580.14,422.81,422.81,422.81,422.81,112.39,0.00,0.00,0.00,0.00,0.00,0.00,580.14,112.39,1061.19,422.81,112.39,422.81,1229.30,1061.19,422.81,422.81,1302.12,1061.19,1141.52,1061.19,1229.30,1229.30,1243.71,1061.19,1061.19,1476.66,1243.71,580.14,1476.66,1354.75,1476.66,1354.75,1258.07,1270.51,1664.78,1354.75,1375.22,1476.66,1243.71,1354.75,1476.66,1476.66,1243.71,1476.66,1243.71,1476.66,1476.66,1476.66,1476.66,4438.16,4438.16,4359.12,4761.87,4325.29,3981.45,3687.28,3973.50,3907.03
N06461E,2888.25,2935.02,3004.69,2856.06,3438.22,3438.22,3087.23,3279.74,3409.82,3583.41,3808.08,3245.71,3645.75,3362.51,3519.71,3281.66,3083.20,3349.34,2941.68,2941.68,2949.29,2625.02,3469.60,3469.60,3554.16,3554.16,3519.71,3111.82,3111.82,2955.19,2850.53,2922.68,3033.81,2832.85,2912.83,2653.61,2565.96,2914.86,3247.27,3129.82,2856.35,3052.66,2958.49,2718.83,2912.83,2748.02,3052.34,3052.34,2661.73,2988.56,2905.09,2943.62,2973.24,3026.79,3073.04,3364.08,3189.86,3321.47,2894.18,2815.85,2784.41,2508.57,2669.17,3162.74,2919.97,2589.82,2935.02,2697.72,2933.63,3800.46,3742.47,3670.62,3800.46,3670.62,3670.62,3886.43,3800.46,3739.11,3606.30,3739.11,3492.50,3736.67,4022.08,3938.67,4016.27,3736.67,4068.23,4080.18,3944.15,4680.99,4158.39,4032.75,3900.11,4195.10,3546.29,3996.05,4680.99,4474.56,4110.46,4680.99,440.89,4474.56,4680.99,4680.99,4680.99,440.89,4680.99,440.89,0.00,0.00,440.89,440.89,0.00,553.28,3685.35,0.00,352.35,352.35,0.00,0.00,0.00,0.00,553.28,440.89,440.89,440.89,440.89,440.89,440.89,352.35,553.28,833.41,0.00,553.28,0.00,1001.51,833.41,0.00,0.00,1074.33,833.41,913.73,833.41,1001.51,1001.51,1015.92,833.41,833.41,1248.87,1015.92,352.35,1248.87,1126.96,1248.87,1126.96,1030.28,1042.72,1484.24,1126.96,1147.43,1248.87,1015.92,1126.96,1248.87,1248.87,1015.92,1248.87,1015.92,1248.87,1248.87,1248.87,1248.87,4689.55,4689.55,4610.51,5013.26,4576.68,4232.84,3938.67,4224.89,4158.43
