detid_Y,N11111J,N11131C,N11131D,N12111R,N12112P,N12112V,N12131A,N12131B,N12131C,N12132D,N12141E,N12141W,N12151X,N12151Y,N13182E,N17111B,N17111C,N17122K,N17131U,N17131X,N17131Y,N17131Z,N17141A,N17151S,N19111N,N19121G,N19121J,N19131B,N19131D,N19161C,N19162A,N32121J,N33113P,N33121C,N33121D,N33121F,N33121G,N33121J,N33121X,N33122S,N33131Y,N33132Z,N33141W,N33142E,N33151L,N37121M,N37131A,N38111F,N38111G,N38111H,N38121J,N38121K,N38121L,N41114J,N41121X,N41122Y,N42112G,N51111B,N51121J,N51131Q,N51131R,N52121I,N52121M,N52121O,N52121P,N53161K
N12141E,0.0,0.024440690205448007,0.020304509449289937,0.14178328290468986,0.17958519628722916,0.07658813204617566,0.1789800649745279,0.18798660052775318,0.12422368947579032,0.17874081561248686,0.0,0.12272143310959366,0.097333525808913,0.1416685295651799,0.20952792405684062,0.15339614718387487,0.1287443082004516,0.18164036238263284,0.1964505300940543,0.1964505300940543,0.1964505300940543,0.13467770438106996,0.16860209293872316,0.09670608205771006,0.7884870479289201,0.7477038835066753,0.8154846118912877,0.8421253614096339,0.7436123025930981,0.797436394463515,0.8390390360658496,0.33569122389397804,0.3280354254623987,0.3637673130193906,0.3637673130193906,0.3710037174721189,0.3710037174721189,0.3637673130193906,0.3999653151430528,0.32413392403224633,0.44069607105532776,0.47215584969490176,0.3742850187222499,0.39219347181276226,0.39646836241328565,0.35237766558493966,0.356689060296923,0.23911076050448635,0.17207653237564863,0.20096487154590528,0.13672438837745327,0.13223622834050341,0.17297133433025583,0.7928289534370613,0.8185444953467349,0.8081806954976167,0.7858035813247344,0.7972933086472154,0.8120003076769934,0.8122137128575271,0.7992835956445707,0.7645246940342705,0.7696161331640319,0.7645246940342705,0.7645246940342705,0.7913438022588373
N12141W,0.13988878532002777,0.1541885271843059,0.16283178425032993,0.11628171847063679,0.08408094166616513,0.05258683251198272,0.06412858354028646,0.07457540470365295,0.00171468587434974,0.06403802044862573,0.13988878532002777,0.0,0.028939390814790373,0.021599818024229448,0.3525191784500777,0.31409899742795655,0.2821904625863637,0.33697982337525273,0.3418073999515722,0.3418073999515722,0.3418073999515722,0.28707930328990927,0.31502888791107875,0.2383124076382449,0.7587861344012014,0.719518712132188,0.7895750366799413,0.8112980613116993,0.7146909728992007,0.9067846723477553,0.8096660734484952,0.27025637953987325,0.42071907571242534,0.4580656568633229,0.4580656568633229,0.4642295276829311,0.4642295276829311,0.4580656568633229,0.48889639900036463,0.42430647556605167,0.5979231877322227,0.5877320951693187,0.467022176881789,0.4822764198345544,0.4859199656497256,0.522794195412216,0.5259710818058666,0.3358991608026095,0.26363109911716304,0.29477599688539274,0.2770138064711246,0.25512333588302655,0.263461281776905,0.9454816971776032,0.9522488961869865,0.9495216001292662,0.9436303507862984,0.946654079673714,0.9505250869866204,0.9505829128240822,0.9471778595789494,0.9380332616414329,0.9393703319674631,0.9380332616414329,0.9380332616414329,0.9450883598069593
N12151X,0.10782889205687758,0.12719812426729193,0.13016487084767778,0.09142913629487004,0.1113248829809333,0.022982346587456962,0.09045039502412161,0.10154539811154312,0.029791916766706682,0.09131516541616451,0.10782889205687758,0.0281254572165558,0.0,0.04911777048305939,0.3197482573006551,0.2772689097685161,0.24702347389603524,0.3013783427920511,0.3084943239817114,0.3084943239817114,0.3084943239817114,0.2521492182172067,0.28147060511564725,0.2058588862704468,0.7298410712051058,0.6920531924747707,0.7643270104101166,0.7812552766455989,0.686508091245857,0.8784078557039486,0.7810430904109046,0.29737051084623217,0.4030920811763997,0.44012966346437205,0.44012966346437205,0.44649753528102454,0.44649753528102454,0.44012966346437205,0.4719830844620734,0.40525317993193105,0.5618896731999291,0.5692953418602509,0.44938500597025305,0.46514403857544717,0.46890584536114754,0.48373791406671823,0.4871748085482846,0.31749150639319346,0.2462169851700783,0.27693267476276917,0.2448620956692679,0.23657763373730498,0.24624966348209495,0.9104965433680783,0.921604164574044,0.9171289082787992,0.9074588163121171,0.9124228253896234,0.9187777983901253,0.9188712801032273,0.913282706781446,0.8982683430669965,0.9004652091223129,0.8982683430669965,0.8982683430669965,0.9098524072335019
N12151Y,0.16505144935482693,0.1787384271125395,0.18846904976385503,0.13626908265713109,0.06437359125739923,0.07582233511105112,0.04346765904128809,0.06486213265323773,0.020324129651860742,0.05421218364887454,0.16505144935482693,0.022076670080550285,0.05165494627869088,0.0,0.37823990285253906,0.34300824103721594,0.30979428075952475,0.3649246896635707,0.3679536422897784,0.3679536422897784,0.3679536422897784,0.3144927247656643,0.3413675843201775,0.2637840162996094,0.7694005756476036,0.7295914610829927,0.7988367218612451,0.8223150478892118,0.7250292454669527,0.9171907319574728,0.82016578756519,0.2656500880103101,0.44624311210184586,0.48403371250073673,0.48403371250073673,0.48989989628369324,0.48989989628369324,0.48403371250073673,0.5133870207486593,0.4518896772109261,0.6262071728083441,0.6144227367237444,0.4925609487485654,0.5070842520376655,0.5105510803787475,0.5534508574959226,0.5564236543087003,0.3625535992566279,0.2888412793239442,0.32060988137286633,0.3022485348094451,0.27947438000450986,0.2883783117320887,0.9729402936329663,0.9762991366020465,0.9749454658772203,0.9720226726157796,0.9735234066842786,0.9754446611254644,0.9754722396100507,0.9737833685980116,0.9692461582492442,0.9699083443767362,0.9692461582492442,0.9692461582492442,0.9727463101808376
N13182E,0.16982399385897579,0.19011406844106465,0.1541634369857242,0.2191174700866456,0.2945308268311955,0.23340562343887128,0.31840894937839037,0.3308489599649446,0.27295118047218886,0.32323018310461454,0.16982399385897579,0.2717043830658011,0.2506279515786434,0.2874334749136203,0.0,0.2248070967403286,0.1969306258285531,0.2506665922485025,0.01654377727028862,0.01654377727028862,0.01654377727028862,0.09158133677141876,0.04878661207935566,0.1596311773970116,0.7019171568014017,0.7562114493500571,0.7399654160553343,0.6906125714701351,0.7498464612984987,0.5772848060733503,0.7052085215501558,0.3821985381207335,0.32017314171575284,0.35577061354393824,0.35577061354393824,0.35414806959480716,0.35414806959480716,0.35577061354393824,0.392421358757037,0.3156390792910611,0.23905680677274982,0.28185840922419264,0.3664112403055842,0.38455180366340624,0.388875967778727,0.1338233575098385,0.13959249122224987,0.2309002739248691,0.16431022209404264,0.19300948923255892,0.11246798117590993,0.14641355434604789,0.15636148923029586,0.5691438572172929,0.622624782185266,0.6010710617130063,0.5545305278677791,0.5784259916525794,0.6090171982390016,0.609458576919861,0.5825676550438152,0.5102791450244971,0.5208651004441388,0.5102791450244971,0.5102791450244971,0.5660551702665106
N17111B,0.21735753189311693,0.2364858539977445,0.20259352108545212,0.20142088433502958,0.2785432363853097,0.2645121683656248,0.3252777923666184,0.3574095891174453,0.2940856342537015,0.35009330171441894,0.21735753189311693,0.29630839594903624,0.28103359386277865,0.3044015389502665,0.22141914692385836,0.0,0.1415049656800463,0.03335878772810647,0.20853847870365536,0.20853847870365536,0.20853847870365536,0.14735149611473117,0.18077901704578064,0.12738348253828025,0.7771643098485796,0.7369589846023034,0.8056072276951024,0.8227176965380009,0.7325867615519595,0.7020618278448587,0.827843796332278,0.5156611979835882,0.4804566751785408,0.44852478340307655,0.44852478340307655,0.4444628311055692,0.4444628311055692,0.44852478340307655,0.5013785007248245,0.4888692991001775,0.3385604568576146,0.3757627455446936,0.456254854453345,0.5230972967007722,0.4755343748742055,0.24167413485034875,0.24672251251002184,0.39828482378790664,0.3226394925919059,0.35523877873623877,0.270949131883188,0.2965455341312547,0.3128496675542444,0.6959260856666325,0.7336698998598125,0.7184585021294276,0.6856120652546545,0.7024761737492895,0.7240657704820123,0.724377936314599,0.7053998434827976,0.6543826987324985,0.6618528519703464,0.6543826987324985,0.6543826987324985,0.6937437540488829
N17111C,0.0883549000255876,0.1106361354913769,0.07115772714258779,0.14248598885985422,0.22529980372247796,0.1581760953216769,0.25151932354463813,0.2623140804006773,0.20160264105642256,0.2539128406484469,0.0883549000255876,0.20023128894482936,0.1770864696541626,0.21750614756509362,0.08955548030778931,0.13121620912288068,0.0,0.16019778318437017,0.07449328895704647,0.07449328895704647,0.07449328895704647,0.006809798543459756,0.045747163819326205,0.07715950166858232,0.7893054686522338,0.7484829124281239,0.8162007440788095,0.7902330426469862,0.7444116786898031,0.6713810050766652,0.8001292044028504,0.4065593282233897,0.349615575339355,0.385722873813874,0.385722873813874,0.392709559380499,0.392709559380499,0.385722873813874,0.4206717300628774,0.3474571814245394,0.30877946194950223,0.3476592981044653,0.39587530865628734,0.41316808291649115,0.41729545261406487,0.20939488229956973,0.21465815155787787,0.2616466465982015,0.1933932572953647,0.22280699285610422,0.14157704450788383,0.17171520663568715,0.18510633965798468,0.6647503322006517,0.7063639023665925,0.6895929272993779,0.6533791116025744,0.6719722305566329,0.6957753234001928,0.696119262675727,0.6751954049641073,0.6189476309085603,0.6271839599886886,0.6189476309085603,0.6189476309085603,0.6623445103425418
N17122K,0.2326369850495303,0.2513918667730533,0.21816116515249911,0.1961172809792326,0.2737498713809512,0.2593034834267198,0.32064854482567173,0.3526663450690827,0.28914565826330535,0.34529603856470864,0.2326369850495303,0.29135993490238365,0.27594398960631866,0.29955996376172156,0.23703746949546375,0.18431315941420398,0.15826523222040953,0.0,0.2244151873252209,0.2244151873252209,0.2244151873252209,0.16399767033207724,0.19677258900728892,0.12394918629149199,0.7453585283443874,0.7067787391606914,0.7778636554181513,0.7973612225971616,0.7016182491713785,0.8263407524457062,0.7963892072245558,0.5285835460329666,0.49595647358152173,0.5346118936759592,0.5346118936759592,0.5399028096630968,0.5399028096630968,0.5346118936759592,0.5610875926041212,0.5056210728247612,0.47094440007908733,0.5007027679363341,0.5423030106305282,0.5554026571294084,0.5585296472387836,0.38516345581154576,0.38925658676840563,0.41446865350923884,0.3379477988587438,0.3709267363700754,0.28627463559256017,0.3113308072210849,0.3279799650247609,0.8221972361903005,0.8442673782311915,0.8353727364010942,0.8161677711705163,0.8260287305432166,0.8386505649040092,0.8388340387644373,0.8277368771919654,0.797905349689288,0.8022750334074489,0.797905349689288,0.797905349689288,0.8209226180013961
N17131U,0.1539025660708411,0.17458177133712818,0.1379417097872717,0.20414145234493195,0.2810010736050415,0.21870358806453793,0.3053352640621835,0.31745525341184927,0.2590076030412165,0.30968199665668855,0.1539025660708411,0.2577348514760203,0.2362541502546864,0.2737676436098659,0.01627453498826524,0.20651671828250487,0.1794661674673403,0.2329863586431201,0.0,0.0,0.0,0.0742332754234968,0.03211867000822636,0.14351195528245642,0.7193592791890877,0.7727634388426671,0.7551832250401733,0.7087161742663352,0.7668307662312343,0.5943845064789437,0.7224580518847259,0.3687332505076775,0.30402452532012214,0.33933871633170276,0.33933871633170276,0.34685296756826045,0.34685296756826045,0.33933871633170276,0.37692656593235563,0.29818357579870824,0.2425464060209068,0.28514930183640536,0.3502602566629183,0.36885631726998985,0.37329534526945735,0.13760569103428313,0.14334688009731553,0.21403647169281695,0.14835872891617283,0.17666249196722159,0.09650095540963474,0.13100706987191107,0.14059548398627233,0.5865180136270826,0.6378423348866054,0.617157762312016,0.5724964364607418,0.5954281894976667,0.6247833818226242,0.6252070532564704,0.5994005004685855,0.5300270048937515,0.5401887451552269,0.5300270048937515,0.5300270048937515,0.5835538771349227
N17131X,0.1539025660708411,0.17458177133712818,0.1379417097872717,0.20414145234493195,0.2810010736050415,0.21870358806453793,0.3053352640621835,0.31745525341184927,0.2590076030412165,0.30968199665668855,0.1539025660708411,0.2577348514760203,0.2362541502546864,0.2737676436098659,0.01627453498826524,0.20651671828250487,0.1794661674673403,0.2329863586431201,0.0,0.0,0.0,0.0742332754234968,0.03211867000822636,0.14351195528245642,0.7193592791890877,0.7727634388426671,0.7551832250401733,0.7087161742663352,0.7668307662312343,0.5943845064789437,0.7224580518847259,0.3687332505076775,0.30402452532012214,0.33933871633170276,0.33933871633170276,0.34685296756826045,0.34685296756826045,0.33933871633170276,0.37692656593235563,0.29818357579870824,0.2425464060209068,0.28514930183640536,0.3502602566629183,0.36885631726998985,0.37329534526945735,0.13760569103428313,0.14334688009731553,0.21403647169281695,0.14835872891617283,0.17666249196722159,0.09650095540963474,0.13100706987191107,0.14059548398627233,0.5865180136270826,0.6378423348866054,0.617157762312016,0.5724964364607418,0.5954281894976667,0.6247833818226242,0.6252070532564704,0.5994005004685855,0.5300270048937515,0.5401887451552269,0.5300270048937515,0.5300270048937515,0.5835538771349227
