detid_Y,ess101o,ess101w,esss037n,esss037s,esss038o,esss038w,esss050n,esss050s,esss051n,esss051s,esss052n,esss052s,esss053n,esss053s,esss088n,esss088s,esss090n,esss090s,esss092n,esss092s,esss093n,esss093s,esss094n,esss094s,esss095n,esss095s,esss097o,esss097w,esss098n,esss098s,esss102n,esss102s,esss926o,esss926w,esss928o,esss928w,esss943o,esss943w
esss052s,0.6503579126712073,0.6318531034551711,0.3353702172322763,0.31543429032403364,0.4730511371105561,0.4730511371105561,0.3325438845670752,0.3369316317631719,0.4945977087981172,0.5154939791802016,0.0,0.0,0.40260147066884894,0.4160537012676646,0.538510778393301,0.5393460365446027,0.4545485372694728,0.4545485372694728,0.16169568438384668,0.18276348123292627,0.1648847572000057,0.1648847572000057,0.33102294051020237,0.1956399787418911,0.32446851941778865,0.32446851941778865,0.42679986494806454,0.40112915074327504,0.6121874694794414,0.6121874694794414,0.4660072794133672,0.46859737642728,0.35426521191946264,0.35426521191946264,0.26419009673865473,0.28383725435112706,0.3909594515973996,0.38404616516698725
esss053n,0.7349208007151472,0.7208925656191127,0.3338992080404567,0.42059475108823396,0.2988281470074556,0.2988281470074556,0.41358273982073124,0.41743775085381674,0.6834432470484403,0.6236538561617505,0.4751078602049172,0.4751078602049172,0.0,0.2198511963928449,0.6052805596953371,0.6059963773470188,0.8565850728337588,0.8565850728337588,0.5471680147887014,0.5968565619269774,0.4255323187601137,0.4255323187601137,0.6817743816881646,0.5456901714989497,0.6811180967687872,0.6811180967687872,0.6409783321085976,0.7040457107954404,0.9499137285542208,0.9499137285542208,0.5863474344724011,0.5883538293790457,0.5614055485184302,0.5614055485184302,0.3699102790480071,0.3707881879224206,0.6807527888093491,0.6798414686100102
esss053s,0.6854098869899388,0.6687600605022717,0.2613446614293438,0.3458638919259796,0.1649495765178689,0.1649495765178689,0.47681621701170823,0.4802555415212472,0.7359128908999849,0.6856868502206711,0.4104720159823478,0.4104720159823478,0.17725553458577725,0.0,0.657381179652108,0.6580012919951191,0.7883291591782162,0.7883291591782162,0.481724295690422,0.5265558147367371,0.35866919123613744,0.35866919123613744,0.6222254154480753,0.4862602599900458,0.6205677721004389,0.6205677721004389,0.700486584179063,0.6854885970632176,0.8925778070775141,0.8925778070775141,0.5140308017855764,0.5163879638228526,0.6353504386474849,0.6353504386474849,0.43961945941051295,0.43863620923601204,0.609470568891812,0.6070822736602935
esss088n,0.9982555402873883,0.9981632218745135,0.9974436245666485,0.9973669447140288,0.9975849311724164,0.9975849311724164,0.3200912429368863,0.31141317929216084,0.2639522707134527,0.24174938683830158,0.8602966643041783,0.8602966643041783,0.8936995387518892,0.9882264115828254,0.0,0.0018099190884538138,0.9106278672085801,0.9106278672085801,0.8651250931841458,0.8840171142739531,0.9969486876509641,0.9969486876509641,0.6213378864977263,0.6376462549454628,0.6018397156842101,0.6018397156842101,0.43867847709082236,0.49385694122308155,0.8278884656704756,0.8278884656704756,0.9974520071882722,0.9974643660619398,0.4673426386568677,0.4673426386568677,0.472585683886449,0.43511454586516696,0.9967470214757291,0.9966770374769238
esss088s,1.0,1.0,1.0,1.0,1.0,1.0,0.32229188841392675,0.3135993580862266,0.2662059980317098,0.2439099319604555,0.8632463341292396,0.8632463341292396,0.8962172173191226,0.9909461591496452,0.0018132008352567453,0.0,0.9137427396344506,0.9137427396344506,0.8681139528888828,0.8872279117342549,1.0,1.0,0.6240554156171284,0.6403583509781261,0.6046029419980319,0.6046029419980319,0.4412345335743083,0.49651061055029594,0.8305071296025002,0.8305071296025002,1.0,1.0,0.4699657526562599,0.4699657526562599,0.47501169617120176,0.43747578626918504,1.0,1.0
esss090n,0.5636436147484166,0.5405512333979395,0.6171122101714321,0.6056272854960831,0.7898796221525287,0.7898796221525287,0.5329942810597322,0.5229166277087113,0.38208820882088207,0.4076362763416112,0.4751560274415628,0.4751560274415628,0.7328911407472376,0.7728524357179415,0.5201658669877601,0.5210343279443908,0.0,0.0,0.38859820854205424,0.34319857297890655,0.5203531550000238,0.5203531550000238,0.37428363734721826,0.3919716895978674,0.2591502327040512,0.2591502327040512,0.2991976326190145,0.2718690416250526,0.2303467949344011,0.2303467949344011,0.5172524474402184,0.5130380088766905,0.39602290227370546,0.39602290227370546,0.5033485006263111,0.5166085537127109,0.44839501176232516,0.43696569886781733
esss090s,0.5636436147484166,0.5405512333979395,0.6171122101714321,0.6056272854960831,0.7898796221525287,0.7898796221525287,0.5329942810597322,0.5229166277087113,0.38208820882088207,0.4076362763416112,0.4751560274415628,0.4751560274415628,0.7328911407472376,0.7728524357179415,0.5201658669877601,0.5210343279443908,0.0,0.0,0.38859820854205424,0.34319857297890655,0.5203531550000238,0.5203531550000238,0.37428363734721826,0.3919716895978674,0.2591502327040512,0.2591502327040512,0.2991976326190145,0.2718690416250526,0.2303467949344011,0.2303467949344011,0.5172524474402184,0.5130380088766905,0.39602290227370546,0.39602290227370546,0.5033485006263111,0.5166085537127109,0.44839501176232516,0.43696569886781733
esss092n,0.6019837464103605,0.5809189318121115,0.3945922521548296,0.37643272195673266,0.5383537719018198,0.5383537719018198,0.32029145718324226,0.32475974983042666,0.4378500106820021,0.461092560976224,0.16795456682745347,0.16795456682745347,0.47068059547209407,0.4895968598124516,0.5104244948487331,0.5113119943028364,0.28590459673786145,0.28590459673786145,0.0,0.009061084985093617,0.19367766183107213,0.19367766183107213,0.26625234561222594,0.16232084560033067,0.25391170567986976,0.25391170567986976,0.36243967349208556,0.3375772783174994,0.4705191750496467,0.4705191750496467,0.3953510028511366,0.3982838135461215,0.29174290219211557,0.29174290219211557,0.25068479195907095,0.27069069035985965,0.2615131662155667,0.24620906004311846
esss092s,0.601864374361597,0.580794670772518,0.38737238001335833,0.36899628587691385,0.5315348645044977,0.5315348645044977,0.3140779706147091,0.31858710970503584,0.4351234734368378,0.45847875463963217,0.15962392856569435,0.15962392856569435,0.4635700133910742,0.48191558208096635,0.508230606435312,0.509120669247842,0.2821333242906762,0.2821333242906762,0.06912231565795554,0.0,0.19394815141722307,0.19394815141722307,0.2629621490034318,0.15903933593717048,0.2505683307620575,0.2505683307620575,0.35934738138269345,0.33436439873548324,0.46735114106195264,0.46735114106195264,0.39557687468670194,0.3985085898050164,0.2885670168911408,0.2885670168911408,0.2438330994099093,0.2640219305251832,0.25757468444084686,0.24219155445966356
esss093n,0.581217079427177,0.5590547019948895,0.3108997805413314,0.29022984975614546,0.4621382561174858,0.4621382561174858,0.3858385212209989,0.3898742182200833,0.5491337071450335,0.5677768208929918,0.1593922670942082,0.1593922670942082,0.3912249308910937,0.40376407987513696,0.582420975603566,0.5831767598507591,0.48453221204385044,0.48453221204385044,0.23402051560732842,0.21448226826499683,0.0,0.0,0.3968353253427553,0.261318677610656,0.39138543784030017,0.39138543784030017,0.4886536513674008,0.4653949964094988,0.6220008464368265,0.6220008464368265,0.36502077426487634,0.36810069976398496,0.41778903717845944,0.41778903717845944,0.3229426057560254,0.3410192993762727,0.26203172033491007,0.2524444559197532
