detid_Y,135D1_9,135D3_8,135D6_8,135Stau1,135Stau5,145D1_9,145D29_8,145D2_8,145D37_8,179D1_10,179D2_10,179D3_10,179D5_8,560D2_8,560D2_9,560SD2,560SD2_1,560SD2_4,560SD2_5,561D4_8,563D33_8,563D34_8,563D34_9,563D4_8,563D4_9,563D6_8,563D6_9,563Stau2,563Stau2_1,563Stau3,563Stau34,563Stau35,563Stau3_1,566D1_8,566D1_9,566D5_8,566D5_9,566D6_8,566D6_9,566D7_8,566D8_8,567D10_8,567D10_9,567D11_8,567D1_8,567D1_9,567D4_8,568D2_8,568D3_8,568D4_8,569D1_8,569D2_8,569D3_8,569D4_8,569D5_8,569D6_8,569D9_8,571D18_8,571D7_8,571D7_9,572D1_8,572D1_9,572D2_10,572D2_8,572D2_9,772D2_8,773D1_8,773D3_9,774D5_8,774D5_9,774D6_8,774D8_8,774D8_9,774Stau1_8_1,774Stau1_8_2,777D1_8,777D1_9
563D34_9,883.66,819.08,1005.88,785.17,883.66,1211.49,1163.13,1008.93,1267.28,710.78,538.42,538.42,626.34,772.77,772.77,811.21,811.21,1324.09,1324.09,121.92,0.00,0.00,0.00,875.82,875.82,501.44,501.44,501.44,501.44,875.82,706.98,345.68,875.82,1138.17,1138.17,969.45,969.45,1051.10,1051.10,1051.10,1051.10,1138.17,1138.17,1138.17,1211.63,1211.63,1208.54,1211.63,1215.31,1215.31,1331.73,1331.73,1331.73,1317.42,1317.42,1317.42,1091.33,1604.50,1542.19,1542.19,1367.05,1367.05,1181.53,1573.10,1573.10,1266.46,1356.23,1526.35,1638.57,1638.57,1661.78,1454.32,1454.32,1524.70,1524.70,889.32,889.32
563D4_8,976.32,911.73,939.88,877.82,976.32,1379.15,1330.79,1176.58,1434.93,644.78,472.43,472.43,560.35,304.85,304.85,903.87,903.87,856.17,856.17,289.57,167.66,167.66,167.66,0.00,0.00,33.52,33.52,33.52,33.52,0.00,459.14,438.34,0.00,670.25,670.25,501.53,501.53,583.18,583.18,583.18,583.18,670.25,670.25,670.25,743.72,743.72,740.62,743.72,747.39,747.39,863.81,863.81,863.81,849.50,849.50,849.50,623.41,1136.58,1074.27,1074.27,899.13,899.13,713.61,1105.18,1105.18,1237.84,1365.62,1278.51,1390.73,1390.73,1413.94,1206.48,1206.48,1276.86,1276.86,641.48,641.48
563D4_9,976.32,911.73,939.88,877.82,976.32,1379.15,1330.79,1176.58,1434.93,644.78,472.43,472.43,560.35,304.85,304.85,903.87,903.87,856.17,856.17,289.57,167.66,167.66,167.66,0.00,0.00,33.52,33.52,33.52,33.52,0.00,459.14,438.34,0.00,670.25,670.25,501.53,501.53,583.18,583.18,583.18,583.18,670.25,670.25,670.25,743.72,743.72,740.62,743.72,747.39,747.39,863.81,863.81,863.81,849.50,849.50,849.50,623.41,1136.58,1074.27,1074.27,899.13,899.13,713.61,1105.18,1105.18,1237.84,1365.62,1278.51,1390.73,1390.73,1413.94,1206.48,1206.48,1276.86,1276.86,641.48,641.48
563D6_8,1227.00,1162.41,1138.37,1128.50,1227.00,1629.83,1581.46,1427.26,1685.61,843.27,670.91,670.91,758.84,271.33,271.33,986.02,986.02,822.65,822.65,540.25,418.33,418.33,418.33,374.39,374.39,0.00,0.00,0.00,0.00,374.39,657.63,689.02,374.39,636.73,636.73,468.01,468.01,549.66,549.66,549.66,549.66,636.73,636.73,636.73,710.20,710.20,707.10,710.20,713.87,713.87,830.29,830.29,830.29,815.98,815.98,815.98,589.89,1103.06,1040.75,1040.75,865.61,865.61,680.09,1071.66,1071.66,1436.33,1564.11,1476.99,1589.22,1589.22,1612.42,1404.97,1404.97,1475.34,1475.34,839.97,839.97
563D6_9,1227.00,1162.41,1138.37,1128.50,1227.00,1629.83,1581.46,1427.26,1685.61,843.27,670.91,670.91,758.84,271.33,271.33,986.02,986.02,822.65,822.65,540.25,418.33,418.33,418.33,374.39,374.39,0.00,0.00,0.00,0.00,374.39,657.63,689.02,374.39,636.73,636.73,468.01,468.01,549.66,549.66,549.66,549.66,636.73,636.73,636.73,710.20,710.20,707.10,710.20,713.87,713.87,830.29,830.29,830.29,815.98,815.98,815.98,589.89,1103.06,1040.75,1040.75,865.61,865.61,680.09,1071.66,1071.66,1436.33,1564.11,1476.99,1589.22,1589.22,1612.42,1404.97,1404.97,1475.34,1475.34,839.97,839.97
563Stau2,1227.00,1162.41,1138.37,1128.50,1227.00,1629.83,1581.46,1427.26,1685.61,843.27,670.91,670.91,758.84,271.33,271.33,986.02,986.02,822.65,822.65,540.25,418.33,418.33,418.33,374.39,374.39,0.00,0.00,0.00,0.00,374.39,657.63,689.02,374.39,636.73,636.73,468.01,468.01,549.66,549.66,549.66,549.66,636.73,636.73,636.73,710.20,710.20,707.10,710.20,713.87,713.87,830.29,830.29,830.29,815.98,815.98,815.98,589.89,1103.06,1040.75,1040.75,865.61,865.61,680.09,1071.66,1071.66,1436.33,1564.11,1476.99,1589.22,1589.22,1612.42,1404.97,1404.97,1475.34,1475.34,839.97,839.97
563Stau2_1,1227.00,1162.41,1138.37,1128.50,1227.00,1629.83,1581.46,1427.26,1685.61,843.27,670.91,670.91,758.84,271.33,271.33,986.02,986.02,822.65,822.65,540.25,418.33,418.33,418.33,374.39,374.39,0.00,0.00,0.00,0.00,374.39,657.63,689.02,374.39,636.73,636.73,468.01,468.01,549.66,549.66,549.66,549.66,636.73,636.73,636.73,710.20,710.20,707.10,710.20,713.87,713.87,830.29,830.29,830.29,815.98,815.98,815.98,589.89,1103.06,1040.75,1040.75,865.61,865.61,680.09,1071.66,1071.66,1436.33,1564.11,1476.99,1589.22,1589.22,1612.42,1404.97,1404.97,1475.34,1475.34,839.97,839.97
563Stau3,976.32,911.73,939.88,877.82,976.32,1379.15,1330.79,1176.58,1434.93,644.78,472.43,472.43,560.35,304.85,304.85,903.87,903.87,856.17,856.17,289.57,167.66,167.66,167.66,0.00,0.00,33.52,33.52,33.52,33.52,0.00,459.14,438.34,0.00,670.25,670.25,501.53,501.53,583.18,583.18,583.18,583.18,670.25,670.25,670.25,743.72,743.72,740.62,743.72,747.39,747.39,863.81,863.81,863.81,849.50,849.50,849.50,623.41,1136.58,1074.27,1074.27,899.13,899.13,713.61,1105.18,1105.18,1237.84,1365.62,1278.51,1390.73,1390.73,1413.94,1206.48,1206.48,1276.86,1276.86,641.48,641.48
563Stau34,751.39,686.81,1068.59,652.90,751.39,1274.21,1225.84,1071.64,1329.99,773.49,601.13,601.13,689.06,476.81,476.81,515.25,515.25,1028.13,1028.13,184.63,314.06,314.06,314.06,579.86,579.86,205.47,205.47,205.47,205.47,579.86,0.00,49.72,579.86,842.21,842.21,673.48,673.48,755.13,755.13,755.13,755.13,842.21,842.21,842.21,915.67,915.67,912.57,915.67,919.34,919.34,1035.76,1035.76,1035.76,1021.45,1021.45,1021.45,795.36,1308.53,1246.22,1246.22,1071.09,1071.09,885.56,1277.14,1277.14,1329.18,1418.94,1424.91,1537.14,1537.14,1560.35,1352.89,1352.89,1423.27,1423.27,787.89,787.89
563Stau35,939.07,833.37,1036.57,840.58,939.07,1475.84,1427.47,1273.27,1531.62,741.47,569.12,569.12,657.04,427.09,427.09,465.53,465.53,978.41,978.41,386.26,264.35,264.35,264.35,530.14,530.14,155.75,155.75,155.75,155.75,530.14,555.83,0.00,530.14,792.49,792.49,623.76,623.76,705.41,705.41,705.41,705.41,792.49,792.49,792.49,865.95,865.95,862.86,865.95,869.62,869.62,986.04,986.04,986.04,971.74,971.74,971.74,745.65,1258.81,1196.51,1196.51,1021.37,1021.37,835.84,1227.42,1227.42,1334.53,1462.31,1375.20,1487.42,1487.42,1510.63,1303.17,1303.17,1373.55,1373.55,738.17,738.17
